epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.924,0.5009,1.8032,1.19116,0.00043,0.17333,0.00037,8e-05,4.28587,65.3927,54.3381,0.00324561,0.00324561,0.0707895
2,209.845,0.51472,1.05135,1.14814,0.28644,0.16318,0.10546,0.04969,2.43103,10.5496,6.63634,0.00657734,0.00657734,0.0407879
3,301.239,0.48329,0.94388,1.13125,0.39403,0.12738,0.05336,0.0323,2.00869,49.6985,3.42261,0.0099026,0.0099026,0.0107798
4,396.716,0.46529,0.91197,1.10986,0.25451,0.32333,0.13141,0.04456,1.46335,22.273,1.86069,0.00997803,0.00997803,0.00997803
5,492.883,0.39073,0.74502,1.07151,0.1399,0.14333,0.10052,0.06529,3.40765,11.2834,4.15622,0.00996097,0.00996097,0.00996097
6,582.346,0.40445,0.70897,1.07165,0.67994,0.81702,0.81016,0.5645,1.12592,1.32613,1.39457,0.00993906,0.00993906,0.00993906
7,672.177,0.35503,0.72852,1.04082,0.55727,0.32089,0.258,0.18074,1.21098,4.33821,1.4407,0.00991232,0.00991232,0.00991232
8,760.727,0.34826,0.6908,1.03172,0.77005,0.63741,0.75116,0.5736,0.63731,2.32702,0.82542,0.00988079,0.00988079,0.00988079
9,853.436,0.34726,0.65868,1.02904,0.41384,0.47333,0.41911,0.36818,1.08895,6.71615,1.39103,0.00984449,0.00984449,0.00984449
10,944.732,0.34592,0.61555,1.03261,0.48896,0.49,0.48615,0.35701,1.0425,3.16235,1.08302,0.00980345,0.00980345,0.00980345
11,1034.7,0.34339,0.6671,1.02689,0.67251,0.79628,0.7915,0.67831,0.65509,1.36298,0.83863,0.00975773,0.00975773,0.00975773
12,1125.95,0.30632,0.60354,1.00785,0.56398,0.5133,0.49286,0.25855,1.01838,3.5808,1.04677,0.00970736,0.00970736,0.00970736
13,1213.72,0.27327,0.59368,0.98368,0.45987,0.48831,0.48932,0.28244,1.42819,4.6517,1.3662,0.00965239,0.00965239,0.00965239
14,1301.31,0.26125,0.52611,0.97358,0.66468,0.82264,0.86647,0.72124,0.58408,1.36613,0.76716,0.00959289,0.00959289,0.00959289
15,1389.47,0.2564,0.49861,0.97761,0.59853,0.49975,0.44002,0.38027,0.62557,2.14071,0.84956,0.00952889,0.00952889,0.00952889
16,1478.05,0.25188,0.47906,0.96172,0.84486,0.82689,0.83502,0.68874,0.65405,1.35183,0.84206,0.00946048,0.00946048,0.00946048
17,1565.76,0.25984,0.48086,0.97739,0.85857,0.44,0.76478,0.65117,0.7722,2.4303,0.888,0.00938772,0.00938772,0.00938772
18,1653.51,0.23988,0.45625,0.9586,0.60339,0.6161,0.55281,0.50252,0.44122,1.78416,0.57312,0.00931067,0.00931067,0.00931067
19,1742.29,0.23562,0.49027,0.96177,0.71926,0.81233,0.9412,0.90042,0.56623,1.17814,0.67646,0.00922942,0.00922942,0.00922942
20,1831.23,0.24418,0.50058,0.95996,0.74737,0.81367,0.84407,0.7909,0.42862,0.92759,0.64471,0.00914405,0.00914405,0.00914405
21,1920.2,0.25405,0.49438,0.97353,0.67395,0.43965,0.4429,0.38743,0.59598,2.15406,0.73045,0.00905463,0.00905463,0.00905463
22,2009.15,0.24219,0.45707,0.96822,0.75607,0.87649,0.89423,0.81194,0.5814,1.07564,0.75627,0.00896127,0.00896127,0.00896127
23,2096.98,0.22541,0.43508,0.95807,0.18419,0.96667,0.57851,0.50267,0.54114,2.90683,0.68701,0.00886404,0.00886404,0.00886404
24,2187.62,0.22567,0.4282,0.96256,0.48499,0.64758,0.64614,0.55672,0.78714,2.04355,0.93938,0.00876305,0.00876305,0.00876305
25,2277.93,0.21644,0.44882,0.95345,0.65895,0.91826,0.88918,0.86148,0.35554,1.14311,0.5659,0.00865839,0.00865839,0.00865839
